Season,Show Title,Resturant,City,State,Business ID,Rating,# of Reviews,Latitude,Longitude
2,Viewers Choice,Bobbys Hawaiian Style Restaurant,Everett,Washington,Bobbys-Hawaiian-Style-Restaurant-Everett,Closed,Closed,-122.2020794,47.9789848
2,Viewers Choice,Ted Peters Famous Smoked Fish,South Pasadena,Florida,Ted-Peters-Famous-Smoked-Fish-South-Pasadena,4,152,-118.1503488,34.1161196
2,Viewers Choice,Psycho Suzies Motor Lounge,Minneapolis,Minnesota,Psycho-Suzis-Motor-Lounge-Minneapolis-2,3.5,551,-93.2650108,44.977753
2,Real Deal BBQ,Jay Bees Bar-B-Que,Gardena,California,Jay-Bees-Bar-B-Q-Gardena-3,3.5,318,-118.3089624,33.8883487
2,Real Deal BBQ,Smoque,Chicago,Illinois,Smoque-Chicago,4.5,39,-87.6297982,41.8781136
2,Real Deal BBQ,BBQ Shack,Paola,Kansas,The-BBQ-Shack-Paola,3.5,12,-94.879129,38.572235
2,Talkin Turkey,Mikes City Diner,Boston,Massachusetts,Mikes-City-Diner-Boston,4,369,-71.0588801,42.3600825
2,Talkin Turkey,Willie Birds Restaurant,Santa Rosa,California,Willie-Birds-Restaurant-Santa-Rosa,3.5,145,-122.7140548,38.440429
2,Talkin Turkey,Alpine Steakhouse,Sarasota,Florida,Alpine-Steakhouse-Sarasota,3.5,46,-82.5306527,27.3364347
2,One of a Kind,JT Farnhams Seafood and Grill,Essex,Massachusetts,JT-Farnhams-Essex-2,3.5,161,-70.782932,42.631958
2,One of a Kind,Joes Gizzard City,Potterville,Michigan,Joes-Gizzard-City-Potterville,3,49,-84.738874,42.6292029
2,One of a Kind,Grubstake Diner,San Francisco,California,Grubstake-San-Francisco,3.5,893,-122.4194155,37.7749295
2,One of a Kind,Los Tapatios,San Jose,California,Los-Tapatios-San-Jose,3,7,-121.8863286,37.3382082
2,Family Owned,El Indio,San Diego,California,El-Indio-San-Diego,3.5,998,-117.1610838,32.715738
2,Family Owned,Charlies Diner,Spencer,Massachusetts,Charlies-Diner-Spencer,3.5,23,-95.144318,43.1450748
2,Family Owned,Paradise Pup,Des Plaines,Illinois,Paradise-Pup-Des-Plaines,4.5,503,-87.8833991,42.0333623
2,Open 24/7,Studio Diner,San Diego,California,Studio-Diner-San-Diego,3.5,1222,-117.1610838,32.715738
2,Open 24/7,White Palace Grill,Chicago,Illinois,White-Palace-Grill-Chicago,3.5,362,-87.6297982,41.8781136
2,Open 24/7,The Dining Car and Market,Philadelphia,Pennsylvania,The-Dining-Car-and-Market-Philadelphia,3.5,102,-75.1652215,39.9525839
2,Off the Hook Specials,Schooner or Later,Long Beach,California,Schooner-or-Later-Long-Beach,3.5,1025,-118.1937395,33.7700504
2,Off the Hook Specials,Grinders,Kansas City,Missouri,Grinders-Kansas-City,4,306,-94.5785667,39.0997265
2,Off the Hook Specials,The Fly Trap,Ferndale,Michigan,The-Fly-Trap-Ferndale,4,508,-83.1346478,42.4605917
2,Off the Hook Specials,Gailwood Cook Shack,Chicago,Illinois,Gailwood-Cook-Shack-Chicago,Closed,Closed,-87.6297982,41.8781136
2,Burgers Rings and Fries,Joes Cable Car,San Francisco,California,Joes-Cable-Car-San-Francisco,Closed,Closed,-122.4194155,37.7749295
2,Burgers Rings and Fries,The Nook,Saint Paul,Minnesota,The-Nook-Saint-Paul,4.5,517,-93.0899578,44.9537029
2,Burgers Rings and Fries,Krazy Jims Blimpy Burger,Ann Arbor,Michigan,Krazy-Jims-Blimpy-Burger-Ann-Arbor,4,234,-83.7430378,42.2808256
2,The New Jersey Diner Tour,Mustache Bills,Barnegat Light,New Jersey,Mustache-Bills-Diner-Barnegat-Light,4,47,-74.1062466,39.7576202
2,The New Jersey Diner Tour,Tick Tock Diner,Clifton,New Jersey,Tick-Tock-Diner-Clifton,3,278,-74.1637553,40.8584328
2,The New Jersey Diner Tour,White Manna Hamburgers,Hackensack,New Jersey,White-Manna-Hackensack,4,547,-74.0434736,40.8859325
2,The New Jersey Diner Tour,The Ritz Diner,Livingston,New Jersey,Ritz-Diner-Livingston,2.5,106,-74.330084,40.786287
